"id","categorie","sous_section","nom","unite","stock_actuel","stock_minimum","statut","cree_par","date_creation","types_mouvements_autorises","longueur","largeur","est_template","actif","couleur"
"82","Outillage-Autres","Mesure & traçage","DECAMETRE 20m","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.601Z""","pret",,,"false","true",
"83","Outillage-Autres","Mesure & traçage","DECAMETRE 30m","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.618Z""","pret",,,"false","true",
"84","Outillage-Autres","Mesure & traçage","EQUERRE","unité(s)","4","0","valide","3","""2025-10-18T12:14:40.635Z""","pret",,,"false","true",
"85","Outillage-Autres","Mesure & traçage","METRE 3m","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.653Z""","pret",,,"false","true",
"86","Outillage-Autres","Mesure & traçage","METRE 5m","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.670Z""","pret",,,"false","true",
"87","Outillage-Autres","Mesure & traçage","NIVEAU A BULLE - GM","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.688Z""","pret",,,"false","true",
"88","Outillage-Autres","Mesure & traçage","NIVEAU A BULLE - MINI","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.705Z""","pret",,,"false","true",
"89","Outillage-Autres","Mesure & traçage","NIVEAU A BULLE - PM","unité(s)","3","0","valide","3","""2025-10-18T12:14:40.723Z""","pret",,,"false","true",
"90","Outillage-Autres","Sécurité & signalisation","FILET AVERTISSEUR BLEU","mètre(s)","3","0","valide","3","""2025-10-18T12:14:40.740Z""","pret",,,"false","true",
"91","Outillage-Autres","Sécurité & signalisation","FILET AVERTISSEUR ROUGE","mètre(s)","1","0","valide","3","""2025-10-18T12:14:40.760Z""","pret",,,"false","true",
"92","Outillage-Autres","Sécurité & signalisation","REGARD DE VISITE GM","unité(s)","5","0","valide","3","""2025-10-18T12:14:40.778Z""","pret",,,"false","true",
"93","Outillage-Autres","Sécurité & signalisation","REGARD DE VISITE PM","unité(s)","0","0","valide","3","""2025-10-18T12:14:40.796Z""","pret",,,"false","true",
"94","Outillage-Autres","Équipement & mobilier","BALAI","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.814Z""","pret",,,"false","true",
"95","Outillage-Autres","Équipement & mobilier","GLACIERE","mètre(s)","1","0","valide","3","""2025-10-18T12:14:40.832Z""","pret",,,"false","true",
"96","Outillage-Autres","Équipement & mobilier","MATELAS","unité(s)","13","0","valide","3","""2025-10-18T12:14:40.850Z""","pret",,,"false","true",
"97","Outillage-Autres","Équipement & mobilier","TABLE PLIANTE","unité(s)","1","0","valide","3","""2025-10-18T12:14:40.866Z""","pret",,,"false","true",
"98","Outillage-Autres","Équipement & mobilier","TABOURET","unité(s)","2","0","valide","3","""2025-10-18T12:14:40.883Z""","pret",,,"false","true",
"193","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 110","Nb de tuyaux 6m","79","0","valide","3","""2025-10-18T12:14:42.563Z""","consommation",,,"false","true",
"194","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 40","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.581Z""","consommation",,,"false","true",
"195","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 50","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.597Z""","consommation",,,"false","true",
"196","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 63","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.629Z""","consommation",,,"false","true",
"197","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 75","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.646Z""","consommation",,,"false","true",
"198","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 90","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.664Z""","consommation",,,"false","true",
"199","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 160","Nb de tuyaux 6m","1","0","valide","3","""2025-10-18T12:14:42.681Z""","consommation",,,"false","true",
"200","Plomberie et Irrigation","Tubes & tuyaux","EVAC - DN 125","Nb de tuyaux 6m","3","0","valide","3","""2025-10-18T12:14:42.699Z""","consommation",,,"false","true",
"201","Plomberie et Irrigation","Tubes & tuyaux","JR - DN 16 - PN 6 (Rouleau de 100m)","Rouleau de 100m","1","0","valide","3","""2025-10-18T12:14:42.716Z""","consommation",,,"false","true",
"202","Plomberie et Irrigation","Tubes & tuyaux","JR - DN 25 - PN 6 (Rouleau de 100m)","Rouleau de 100m","0","0","valide","3","""2025-10-18T12:14:42.732Z""","consommation",,,"false","true",
"203","Plomberie et Irrigation","Tubes & tuyaux","JR - DN 32 - PN 10 (Rouleau de 100m)","Rouleau de 100m","0","0","valide","3","""2025-10-18T12:14:42.749Z""","consommation",,,"false","true",
"204","Plomberie et Irrigation","Tubes & tuyaux","JR - DN 32 - PN 6 (Rouleau de 100m)","Rouleau de 100m","0","0","valide","3","""2025-10-18T12:14:42.767Z""","consommation",,,"false","true",
"205","Plomberie et Irrigation","Tubes & tuyaux","JR - DN 40 - PN 6 (Rouleau de 100m)","Rouleau de 100m","0","0","valide","3","""2025-10-18T12:14:42.784Z""","consommation",,,"false","true",
"206","Plomberie et Irrigation","Tubes & tuyaux","JR - DN 50 - PN 6 (Rouleau de 100m)","Rouleau de 100m","0","0","valide","3","""2025-10-18T12:14:42.801Z""","consommation",,,"false","true",
"207","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 110","Nb de tuyaux 6m","24","0","valide","3","""2025-10-18T12:14:42.819Z""","consommation",,,"false","true",
"208","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 125","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.837Z""","consommation",,,"false","true",
"209","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 40","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.855Z""","consommation",,,"false","true",
"210","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 50","Nb de tuyaux 6m","10","0","valide","3","""2025-10-18T12:14:42.872Z""","consommation",,,"false","true",
